MGI.symbol,HGNC.symbol
Dgcr2,DGCR2
Slc20a2,SLC20A2
Ccdc32,CCDC32
Gm20518,DGCR2
Prps1,PRPS1L1
AA467197,C15orf48
Fscb,FSCB
Akap1,AKAP1
Tmem167,TMEM167A
Ptger2,PTGER2
Dse,DSE
Ism1,ISM1
Cst10,CST5
Gnl1,GNL1
Zfp704,ZNF704
Vegfa,VEGFA
Wdr36,WDR36
Upf1,UPF1
Pfkfb1,PFKFB1
Insl6,INSL6
Hist1h2ba,HIST1H2BA
Smim19,SMIM19
Fam110c,FAM110C
Hist1h2aa,HIST1H2AA
Cldn4,CLDN4
Xrcc4,XRCC4
Eci1,ECI1
Pip5kl1,PIP5KL1
Aqp4,AQP4
Slc30a4,SLC30A4
4930447C04Rik,C14orf39
Ccz1,CCZ1
Fam160b1,FAM160B1
Washc1,WASHC1
Aamp,AAMP
Pi4k2b,PI4K2B
Togaram1,TOGARAM1
Ebf3,EBF3
Sdhaf1,SDHAF1
Prkcb,PRKCB
Stradb,STRADB
Gm45837,PDE2A
Rsph10b,RSPH10B
Zscan18,ZSCAN18
Cdk5rap1,CDK5RAP1
Slc17a4,SLC17A4
Lyar,LYAR
Zfp408,ZNF408
Kcnj14,KCNJ14
Zfp738,ZNF208
Nxpe2,NXPE2
Armcx3,ARMCX3
Ccdc127,CCDC127
Sfrp5,SFRP5
Lrrc30,LRRC30
Cdhr2,CDHR2
Kcnk12,KCNK12
Gm648,CT45A7
Gm648,CT45A8
Gm648,CT45A9
Gm648,CT45A10
Gm648,SAGE1
Ptpn2,PTPN2
Cdk6,CDK6
Ccr4,CCR4
Gm20431,TMEM189-UBE2V1
Akr1c14,AKR1C4
Rora,RORA
Asxl2,ASXL2
Gcc2,GCC2
Btn1a1,BTN1A1
Akr1c6,AKR1C4
Plpp7,PLPP7
Parp11,PARP11
Six6,SIX6
Spr,SPR
Zfp595,ZNF479
Nol12,NOL12
Zfp65,ZNF479
Poteg,POTED
Ano9,ANO9
Cd4,CD4
Tax1bp3,TAX1BP3
Ankrd26,POTED
Acp1,ACP1
Gm527,C14orf28
Fus,FUS
Ncan,NCAN
Hephl1,HEPHL1
Rfx3,RFX3
Pex3,PEX3
Adat2,ADAT2
Kif4,KIF4A
Zfp729b,ZNF208
Akr1cl,AKR1C4
Polr2d,POLR2D
Nemp2,NEMP2
Zfp953,ZNF479
Defb21,DEFB118
Akr1c20,AKR1C4
Pag1,PAG1
Med29,MED29
Slc25a16,SLC25A16
Zfp759,ZNF479
4930430A15Rik,POTED
Eloc,ELOC
Akr1c21,AKR1C4
Fn3krp,FN3KRP
Gm10477,CT45A7
Gm10477,CT45A8
Gm10477,CT45A9
Gm10477,CT45A10
Gm10477,SAGE1
Emc6,EMC6
Gm7173,CFAP47
Gm45623,SMIM32
Parp8,PARP8
Mark2,MARK2
Nr3c1,NR3C1
Tbx6,TBX6
Gpm6b,GPM6B
Sema5a,SEMA5A
Lrrc14b,LRRC14B
Txndc16,TXNDC16
Mettl27,METTL27
Ggt1,GGTLC1
Triobp,TRIOBP
Akr1c18,AKR1C4
Fuca2,FUCA2
Pde2a,PDE2A
Dars,DARS
Otop1,OTOP1
Pdzd11,PDZD11
Tmem128,TMEM128
Rnf223,RNF223
Trim71,TRIM71
Asf1b,ASF1B
Angptl2,ANGPTL2
9430038I01Rik,C10orf143
Akr1c12,AKR1C4
Klf2,KLF2
P2rx5,P2RX5
Kctd1,KCTD1
Akr1c13,AKR1C4
Chrna9,CHRNA9
Tcf7l2,TCF7L2
Notch1,NOTCH1
Zbtb49,ZBTB49
Trmt11,TRMT11
Zfp36l1,ZFP36L1
Frrs1l,FRRS1L
Rasef,RASEF
Atrx,ATRX
Tslp,TSLP
Zfp458,ZNF208
Msh2,MSH2
Tssc4,TSSC4
Cyth2,CYTH2
Piezo2,PIEZO2
Psma7,PSMA7
Zfp457,ZNF479
Prph2,PRPH2
Mapk8ip1,MAPK8IP1
Gm45861,POTED
Mdfi,MDFI
Fam26f,CALHM6
Trak2,TRAK2
Nfu1,NFU1
Mfsd6,MFSD6
Tmem270,TMEM270
Akr1c19,AKR1C4
Tspyl1,TSPYL1
Emx1,EMX1
Alkal1,ALKAL1
Rln1,RLN2
Ocm,OCM2
Invs,INVS
Chst9,CHST9
Grwd1,GRWD1
Ice1,ICE1
Gm45736,WDR74
Wdr74,WDR74
Zwint,ZWINT
Zfp523,ZNF76
Asna1,ASNA1
Fam213a,FAM213A
Vill,VILL
Trub1,TRUB1
Plec,PLEC
Tomt,LRTOMT
Matk,MATK
Tex19.1,TEX19
Fn3k,FN3K
Tmppe,TMPPE
Slco1a4,SLCO1A2
Glra4,GLRA4
Rtn4,RTN4
Rnf5,RNF5
Cdyl2,CDYL2
Tecpr1,TECPR1
Riok1,RIOK1
Chordc1,CHORDC1
Defb36,DEFB123
Dad1,DAD1
Zc3h12b,ZC3H12B
C1rb,C1R
Maea,MAEA
Best1,BEST1
Zfp821,ZNF821
Zfp105,ZNF35
Twnk,TWNK
Ccny,CCNY
Hdac4,HDAC4
Uts2r,UTS2R
Ces5a,CES5A
Bicral,BICRAL
Ovol1,OVOL1
Pdia6,PDIA6
Iapp,IAPP
Slc35e2,SLC35E2B
Rpl7l1,RPL7L1
Clec9a,CLEC9A
Fth1,FTH1
Csn2,CSN2
Prrc2b,PRRC2B
Sart1,SART1
Gab2,GAB4
Muc5ac,MUC5AC
Ttc34,TTC34
Sdha,SDHA
Rhot1,RHOT1
Scara3,SCARA3
Asic2,ASIC2
Gm29797,C20orf204
Plcxd1,PLCXD1
Des,DES
Nrbf2,NRBF2
Kbtbd4,KBTBD4
Irf9,IRF9
Zfp595,ZNF257
Zfp65,ZNF257
Atp6v1c2,ATP6V1C2
Sim1,SIM1
Pde4d,PDE4D
F2,F2
Tm6sf2,TM6SF2
Cebpd,CEBPD
Kcnh6,KCNH6
Rell1,RELL1
Gprin1,GPRIN1
Zfp329,ZNF329
Celf1,CELF1
Oxa1l,OXA1L
Apmap,APMAP
Tceal3,TCEAL3
Fam204a,FAM204A
Tasp1,TASP1
Lactb,LACTB
Zfp759,ZNF257
Rapgef5,RAPGEF5
Defb25,DEFB124
Tet1,TET1
Frmd3,FRMD3
Sox18,SOX18
Alkbh6,ALKBH6
Acsm1,ACSM1
Rexo5,REXO5
Svip,SVIP
Mrgpra2b,MRGPRX1
Setd2,SETD2
Samd10,SAMD10
Tceal6,TCEAL3
Adrb3,ADRB3
Dgcr14,ESS2
Mapk1,MAPK1
Cat,CAT
Ager,AGER
Krcc1,KRCC1
Fam49b,FAM49B
Prr14,PRR14
Kdm5a,KDM5A
Dnah7a,DNAH7
Gna14,GNA14
Trpc7,TRPC7
Tmem55b,PIP4P1
Rps6kb1,RPS6KB1
Izumo1r,IZUMO1R
Saa4,SAA4
Rgs17,RGS17
Bhlha15,BHLHA15
Cep112,CEP112
Trir,TRIR
Ccdc105,CCDC105
Tbcc,TBCC
Rem1,REM1
4833427G06Rik,C11orf88
Gsdmc2,GSDMC
Cst7,CST7
Vps4b,VPS4B
Gpr137c,GPR137C
Tmem87b,TMEM87B
Las1l,LAS1L
Gdf5,GDF5
Got1l1,GOT1L1
Hoxa10,HOXA10
Top3b,TOP3B
Best2,BEST2
Nlrx1,NLRX1
Smyd1,SMYD1
Nwd2,NWD2
Gsdmc3,GSDMC
Gtf2i,GTF2I
Zfp457,ZNF257
Ndufs3,NDUFS3
Mphosph6,MPHOSPH6
Eif4ebp1,EIF4EBP1
Casp14,CASP14
Krt15,KRT15
Glb1,GLB1
Osr1,OSR1
Tceal1,TCEAL1
Gpr83,GPR83
Capn6,CAPN6
Pdgfd,PDGFD
Gm15557,GDF5OS
Six4,SIX4
Fam161a,FAM161A
Vsig2,VSIG2
Exog,EXOG
Cep152,CEP152
Cacnb3,CACNB3
Tssk2,TSSK2
Thumpd1,THUMPD1
Nlk,NLK
Bambi,BAMBI
Rps27l,RPS27L
Sos2,SOS2
Trac,TRAC
Slco1a6,SLCO1A2
Prpf6,PRPF6
Prr12,PRR12
Fkbp9,FKBP9
Chrnb3,CHRNB3
Pkd1l3,PKD1L3
Atf2,ATF2
Prkdc,PRKDC
Eri2,ERI2
Mrgpra2a,MRGPRX1
Celf4,CELF4
Acsm3,ACSM3
Six1,SIX1
Tceal5,TCEAL3
Recql,RECQL
1700092M07Rik,TEX54
Esam,ESAM
Egr2,EGR2
Axin2,AXIN2
Pyroxd1,PYROXD1
Tfeb,TFEB
Syne4,SYNE4
Lipg,LIPG
Ammecr1l,AMMECR1L
Tfap2a,TFAP2A
Fut8,FUT8
Gm5724,SLCO1A2
Morf4l2,MORF4L2
Dnah7c,DNAH7
Slc1a6,SLC1A6
Lama3,LAMA3
Syndig1,SYNDIG1
Panx1,PANX1
Fzd6,FZD6
Psme2b,PSME2
Golga7b,GOLGA7B
Crtac1,CRTAC1
Dhdh,DHDH
Lix1,LIX1
Hapln4,HAPLN4
Zfp953,ZNF257
Entpd3,ENTPD3
Mrpl43,MRPL43
Adgrl1,ADGRL1
Cryaa,CRYAA2
Lmtk2,LMTK2
Ddi1,DDI1
1700015G11Rik,CCDC179
Ppm1f,PPM1F
C1ra,C1R
Ptprm,PTPRM
Gm45808,DHDH
Abca6,ABCA6
Rnf31,RNF31
Sqor,SQOR
Mrgpra3,MRGPRX1
Bloc1s6,BLOC1S6
Glrx3,GLRX3
Ssr1,SSR1
Gsdmc4,GSDMC
Olfr1356,OR7C2
Mphosph10,MPHOSPH10
Klhl28,KLHL28
Zfp36,ZFP36
Krt19,KRT19
Fam213b,FAM213B
Crhr1,CRHR1
Baalc,BAALC
Mrgpra4,MRGPRX1
Slco1a5,SLCO1A2
Psme2,PSME2
Anapc15-ps,ANAPC15
Zkscan7,ZKSCAN7
Spred1,SPRED1
Sema4g,SEMA4G
Cgnl1,CGNL1
Ado,ADO
Adra1a,ADRA1A
Ist1,IST1
Serpine2,SERPINE2
Necap2,NECAP2
Ccdc77,CCDC77
Mrgpra9,MRGPRX1
Hoxa9,HOXA9
Ctns,CTNS
Apex1,APEX1
Ccnd2,CCND2
Tsc22d3,TSC22D3
Mrgpra1,MRGPRX1
Dcaf7,DCAF7
Abhd4,ABHD4
P2rx5,P2RX5-TAX1BP3
Mrgpra6,MRGPRX1
Atxn1l,ATXN1L
Heatr5b,HEATR5B
0610040J01Rik,C4orf19
Nkx6-3,NKX6-3
Nrgn,NRGN
Wdr18,WDR18
Cage1,CAGE1
Dync1i2,DYNC1I2
Rnft1,RNFT1
Ap5b1,AP5B1
Epb41l4b,EPB41L4B
Paip2b,PAIP2B
Gsdmc,GSDMC
Slco1a1,SLCO1A2
Hectd1,HECTD1
Sh3yl1,SH3YL1
Tex19.2,TEX19
Dpp4,DPP4
Mettl6,METTL6
Ptcra,PTCRA
Recql5,RECQL5
Ss18l1,SS18L1
Mrm3,MRM3
Zfp638,ZNF638
Fbxo11,FBXO11
Gcat,GCAT
Anxa4,ANXA4
Gabrg3,GABRG3
Sec11c,SEC11C
Ift20,IFT20
Matn3,MATN3
Olfr1303,OR4F21
Chrna6,CHRNA6
Neurl4,NEURL4
Fbxw28,FBXW12
Blvra,BLVRA
Fbxw19,FBXW12
Cmpk2,CMPK2
Prdx2,PRDX2
Rgs6,RGS6
Commd1,COMMD1
Junb,JUNB
Usp49,USP49
Fam47c,FAM47C
Adam19,ADAM19
Acat3,ACAT2
Tmbim1,TMBIM1
Zmat5,ZMAT5
Cabp7,CABP7
Lgals9,LGALS9B
Rab11fip3,RAB11FIP3
Gcsh,GCSH
Uqcr10,UQCR10
P3h3,P3H3
Hba-a2,HBA2
Hba-a2,HBA1
Gal,GAL
Fbxw22,FBXW12
Zfp953,ZNF716
Zfp953,ZNF676
Zfp953,ZNF492
Zfp953,ZNF98
Mms22l,MMS22L
Hist2h2be,HIST1H2BJ
H1f0,H1F0
Atrnl1,ATRNL1
Tcp1,TCP1
Cd274,CD274
Sfxn5,SFXN5
Fnta,FNTA
Slc38a6,SLC38A6
Gatd1,GATD1
1810030O07Rik,CXorf38
Uba1,UBA1
Hs3st6,HS3ST6
Gfra1,GFRA1
Rab8b,RAB8B
Wtap,WTAP
Angpt1,ANGPT1
Col12a1,COL12A1
Madd,MADD
Fbxw24,FBXW12
Fbxw18,FBXW12
Krt9,KRT9
Bag4,BAG4
Crtap,CRTAP
Styxl1,STYXL1
1700030J22Rik,C16orf46
Sbno2,SBNO2
Dcx,DCX
Cngb3,CNGB3
Nhs,NHS
Oprk1,OPRK1
Fkbp3,FKBP3
Uvssa,UVSSA
Glp1r,GLP1R
Def6,DEF6
Catip,CATIP
Rb1cc1,RB1CC1
Cep250,CEP250
Fndc11,FNDC11
Mrpl4,MRPL4
Gm21981,PRICKLE4
Tulp3,TULP3
Ranbp2,RGPD8
Smim5,SMIM5
Derl2,DERL2
Zfp729a,ZNF729
Naa16,NAA16
Cul3,CUL3
Sod2,SOD2
Acat2,ACAT2
Rnf144a,RNF144A
Rbck1,RBCK1
Tmem70,TMEM70
1600002K03Rik,C19orf24
Zfp322a,ZNF322
Dcp1b,DCP1B
Tex13a,TEX13B
Mrgpra2a,MRGPRX2
Fbxw15,FBXW12
Tex13b,TEX13B
Mid1,MID1
Sost,SOST
Vsig1,VSIG1
BC017643,C17orf62
Map1a,MAP1A
Hspb6,HSPB6
Trpm7,TRPM7
Spink1,SPINK1
Snx32,SNX32
Wdr70,WDR70
Slc25a1,SLC25A1
Glis3,GLIS3
Tesmin,TESMIN
Casp12,CASP12
Fbxw25,FBXW12
Mrgpra9,MRGPRX2
Pmm2,PMM2
Fbxw21,FBXW12
Frs3,FRS3
Gemin8,GEMIN8
Golt1b,GOLT1B
Fam26d,CALHM4
Tollip,TOLLIP
Prickle4,PRICKLE4
Ptdss2,PTDSS2
Nkx1-1,NKX1-1
Drosha,DROSHA
Lims1,LIMS4
Cyp11b1,CYP11B2
Cyp11b1,CYP11B1
Il5,IL5
Thap1,THAP1
Svil,SVIL
Mrgpra1,MRGPRX2
Steap1,STEAP1B
Hbq1b,HBQ1
Usp14,USP14
Car9,CA9
Rnf112,RNF112
Ilvbl,ILVBL
Prpf39,PRPF39
Gfra3,GFRA3
Hacd1,HACD1
Cdh11,CDH11
Rbm47,RBM47
Med10,MED10
Abt1,ABT1
Icam1,ICAM1
Efna2,EFNA2
Mrgpra6,MRGPRX2
Myh8,MYH8
Mnat1,MNAT1
Rgmb,RGMB
Rln1,RLN1
Il18bp,IL18BP
Prlhr,PRLHR
Fbxw14,FBXW12
Chd5,CHD5
Rpl3l,RPL3L
Bax,BAX
Cdkl3,CDKL3
Myo3b,MYO3B
Spock1,SPOCK1
Hist1h4k,HIST1H4I
Ipmk,IPMK
Arhgef39,ARHGEF39
Scaf1,SCAF1
Plp1,PLP1
Il7r,IL7R
Fam98b,FAM98B
Mus81,MUS81
Rad50,RAD50
Fbxw20,FBXW12
Tmsb15b1,TMSB15B
Aph1b,APH1B
Tas2r119,TAS2R1
Cyfip2,CYFIP2
Itga4,ITGA4
Efemp2,EFEMP2
Acss1,ACSS1
Grp,GRP
Cmc2,CMC2
1700029I15Rik,C11orf94
Slc12a3,SLC12A3
9430015G10Rik,C1orf159
Sympk,SYMPK
Abcf1,ABCF1
Olfr1291-ps1,OR4F17
Fbxw27,FBXW12
Mapt,MAPT
Mre11a,MRE11
Spink8,SPINK8
Ckap5,CKAP5
Mcf2,MCF2
Ppp1cb,PPP1CB
Ypel3,YPEL3
Egfl7,EGFL7
Mrgpra3,MRGPRX2
Gpr50,GPR50
Icam4,ICAM4
Abcb6,ABCB6
Apex2,APEX2
Fam26e,CALHM5
Muc5b,MUC5B
Car10,CA10
4933413G19Rik,TEX52
Mllt10,MLLT10
Urgcp,URGCP
Mmgt1,MMGT1
Crhr1,LINC02210-CRHR1
Sit1,SIT1
Nrip2,NRIP2
Mrgpra4,MRGPRX2
Hdac9,HDAC9
Pmp2,PMP2
Lipi,LIPI
Uri1,URI1
Ncln,NCLN
Ccdc107,CCDC107
Slc35a2,SLC35A2
Ly6d,LY6D
Trappc3l,TRAPPC3L
Lpar5,LPAR5
Mgea5,MGEA5
Lingo2,LINGO2
Pdcd1lg2,PDCD1LG2
Hook2,HOOK2
Prr27,PRR27
Slc25a37,SLC25A37
Pex6,PEX6
Mrps24,MRPS24
Msrb1,MSRB1
Ucn3,UCN3
Lman2l,LMAN2L
Crocc,CROCC
Slc17a1,SLC17A1
Nipal4,NIPAL4
Rassf8,RASSF8
Gdpd3,GDPD3
Car5a,CA5A
Snta1,SNTA1
Akap2,AKAP2
Lrch1,LRCH1
Vma21,VMA21
Taldo1,TALDO1
Cerkl,CERKL
Reep3,REEP3
Fbxw13,FBXW12
Myh2,MYH2
Hist1h4i,HIST1H4I
Tmsb15b2,TMSB15B
Pgc,PGC
Msantd2,MSANTD2
Glod4,GLOD4
Ndufs1,NDUFS1
Tex10,TEX10
Ptpn3,PTPN3
Fabp12,FABP12
Mum1,MUM1
Cnpy3,CNPY3
Krt16,KRT16
Acrbp,ACRBP
Dzip1,DZIP1
Npbwr1,NPBWR1
Ash2l,ASH2L
Rpusd2,RPUSD2
Tmem214,TMEM214
Layn,LAYN
Kin,KIN
Aph1c,APH1B
Rras,RRAS
Fubp3,FUBP3
Gm45692,RNF170
Kif3c,KIF3C
Hook3,HOOK3
Fam102a,FAM102A
Sppl2c,SPPL2C
Gm37389,FABP9
Trpm5,TRPM5
Gtpbp6,GTPBP6
Trappc9,TRAPPC9
Eaf1,EAF1
Hoxa13,HOXA13
Aak1,AAK1
Hexdc,HEXDC
Armcx2,ARMCX2
Fabp4,FABP4
Adra2b,ADRA2B
Gin1,GIN1
Tmem55a,PIP4P2
Gml,GML
Gdf1,GDF1
Gdf1,CERS1
Cpne3,CPNE3
Sap30bp,SAP30BP
Olfr1289,OR4F17
Zfp65,ZNF716
Zfp65,ZNF676
Zfp65,ZNF492
Zfp65,ZNF98
Jmjd1c,JMJD1C
Zfp595,ZNF716
Zfp595,ZNF676
Zfp595,ZNF492
Zfp595,ZNF98
Elf5,ELF5
Ptprd,PTPRD
Zmynd11,ZMYND11
Dmac1,DMAC1
Lyrm1,LYRM1
Msi2,MSI2
Nxn,NXN
Pgm1,PGM2
Astl,ASTL
Rbm24,RBM24
Zfr2,ZFR2
Mmel1,MMEL1
Fbln7,FBLN7
Zc3h6,ZC3H6
Gdnf,GDNF
Il13,IL13
Cisd1,CISD1
Nsg1,NSG1
Cldn10,CLDN10
C1rl,C1RL
Tmem216,TMEM216
Siglecg,SIGLEC10
Col6a1,COL6A1
Mast1,MAST1
Cyp11b2,CYP11B2
Cyp11b2,CYP11B1
Rpl13,RPL13
Rnh1,RNH1
Fabp9,FABP9
Thoc1,THOC1
Tmeff1,TMEFF1
Abat,ABAT
Srf,SRF
Tcf7,TCF7
Mtg2,MTG2
Carhsp1,CARHSP1
Itfg2,ITFG2
Ttc32,TTC32
Usp31,USP31
Ndufaf4,NDUFAF4
L3mbtl3,L3MBTL3
Gcnt2,GCNT2
Palm2,PALM2
Ccl3,CCL3L1
Ccl3,CCL3L3
Ank1,ANK1
Yipf5,YIPF5
Gpr68,GPR68
Nmrk1,NMRK1
Rab11fip5,RAB11FIP5
Ube2ql1,UBE2QL1
Krt17,KRT17
Gpx4,GPX4
Fabp1,FABP1
Ets1,ETS1
Colq,COLQ
Meox1,MEOX1
Gm5225,PRDX2
Fbxo25,FBXO25
Wdr35,WDR35
Proser3,PROSER3
Gm44596,NRIP2
Trmt5,TRMT5
Rnaseh2a,RNASEH2A
Mid2,MID2
D6Wsu163e,C12orf4
Psmb7,PSMB7
Spdya,SPDYA
Stmn4,STMN4
Aqp7,AQP7
Myh1,MYH1
Irf1,IRF1
Olfr1293-ps,OR4F17
Gm28048,COMMD1
Stx18,STX18
Plgrkt,PLGRKT
Tmsb15l,TMSB15B
Samd9l,SAMD9L
Gsc2,GSC2
Cenpn,CENPN
Samd3,SAMD3
Mdh2,MDH2
4930480E11Rik,FAM47C
Cacng3,CACNG3
Zfp110,ZNF274
Fbxw26,FBXW12
Dusp22,DUSP22
Nsun7,NSUN7
Zbtb14,ZBTB14
Skida1,SKIDA1
Tspan14,TSPAN14
Gnmt,GNMT
Net1,NET1
Slc9a6,SLC9A6
Cct4,CCT4
Zc3h8,ZC3H8
Thnsl2,THNSL2
Hba-a1,HBA2
Hba-a1,HBA1
Zcchc4,ZCCHC4
Ero1l,ERO1A
Cadm1,CADM1
Prex1,PREX1
Cyp1a1,CYP1A1
Plekhg2,PLEKHG2
Cfl1,CFL1
Fgf23,FGF23
Fbxw16,FBXW12
Plcd1,PLCD1
Lamtor1,LAMTOR1
Pikfyve,PIKFYVE
Fpgs,FPGS
Syde1,SYDE1
Abra,ABRA
Rnf170,RNF170
Smim6,SMIM6
Cacna1c,CACNA1C
Zfp457,ZNF716
Zfp457,ZNF676
Zfp457,ZNF492
Zfp457,ZNF98
Vma21-ps,VMA21
Clec1a,CLEC1A
Tigar,TIGAR
Olfr1357,OR1I1
Eef1b2,EEF1B2
2310039H08Rik,C6orf226
Hoxa11,HOXA11
Uck1,UCK1
Atg9a,ATG9A
Hs3st2,HS3ST2
Fgf6,FGF6
Tomm6,TOMM6
Btbd2,BTBD2
Pnkd,PNKD
Lsm1,LSM1
Lyzl1,LYZL1
Fam124b,FAM124B
Tmem186,TMEM186
Cers1,GDF1
Cers1,CERS1
Slc7a5,SLC7A5
Zfp369,ZNF274
Eif1ad,EIF1AD
Vcan,VCAN
Lmtk3,LMTK3
Ascc3,ASCC3
Qk,QKI
Atmin,ATMIN
Crot,CROT
4930402K13Rik,FAM47C
Luc7l,LUC7L
Cyp1a2,CYP1A2
Sult2b1,SULT2B1
Ass1,ASS1
Mis12,MIS12
Alas2,ALAS2
Tcerg1l,TCERG1L
Dpm2,DPM2
Pex16,PEX16
Fndc9,FNDC9
Polr3a,POLR3A
Gml2,GML
Pcyox1,PCYOX1
Zfp759,ZNF716
Zfp759,ZNF676
Zfp759,ZNF492
Zfp759,ZNF98
Trio,TRIO
Pus7,PUS7
Spg21,SPG21
Skp1a,SKP1
Tubal3,TUBAL3
Glra2,GLRA2
Ascc2,ASCC2
Myh4,MYH4
Taco1,TACO1
Mrgpra2b,MRGPRX2
Rpl14,RPL14
Stmnd1,STMND1
Ly96,LY96
Star,STAR
Slc17a3,SLC17A3
Mbd3l2,MBD3L2B
Rab9b,RAB9B
Hbq1a,HBQ1
Akain1,AKAIN1
Nek6,NEK6
Dcun1d3,DCUN1D3
Gpr63,GPR63
Reps2,REPS2
Numa1,NUMA1
Hist1h2bk,HIST1H2BK
Ddx23,DDX23
Dennd5a,DENND5A
Fabp5,FABP5
Rsad2,RSAD2
Cdh13,CDH13
Rtbdn,RTBDN
Bnc2,BNC2
Klhl32,KLHL32
Cstf1,CSTF1
Ppip5k2,PPIP5K2
Sap130,SAP130
St8sia6,ST8SIA6
Pate1,PATE1
Atl1,ATL1
Olfr1416,OR6B2
Olfr1416,OR6B3
Acaa2,ACAA2
Abr,ABR
Hap1,HAP1
Atxn7l1,ATXN7L1
Ccdc65,CCDC65
Ftl1-ps1,FTL
Gm20509,KHDC3L
Zcchc18,ZCCHC18
Ankrd23,ANKRD23
Cplx3,CPLX3
Myadml2,MYADML2
Erich1,ERICH1
Pdcd6,PDCD6
Sept9,SEPT9
Mtnr1b,MTNR1B
Scg5,SCG5
Rsl1,ZNF720
Pard6b,PARD6B
Tmem129,TMEM129
Slc25a32,SLC25A32
Cdc25c,CDC25C
Stc1,STC1
Ppard,PPARD
Ago2,AGO2
Fat3,FAT3
Piwil4,PIWIL4
Gps2,GPS2
Dip2c,DIP2C
Otud5,OTUD5
Serpinb13,SERPINB13
Nudt15,NUDT15
Gpihbp1,GPIHBP1
Mmp16,MMP16
Ccbe1,CCBE1
Prom1,PROM1
Zp3,ZP3
Rragd,RRAGD
Brd4,BRD4
Atp13a2,ATP13A2
Pnpla7,PNPLA7
Endov,ENDOV
Tnpo1,TNPO1
Idnk,IDNK
Uggt1,UGGT1
Ripor3,RIPOR3
Grik2,GRIK2
Heatr6,HEATR6
Efcab10,EFCAB10
Gls,GLS
Magt1,MAGT1
Cybb,CYBB
Dnajc1,DNAJC1
Zfp189,ZNF189
Incenp,INCENP
Rgcc,RGCC
Myo5b,MYO5B
Setd5,SETD5
Prdm12,PRDM12
Arhgef18,ARHGEF18
Fancm,FANCM
Arf3,ARF3
Tmem130,TMEM130
Stxbp4,STXBP4
Khdc1a,KHDC1
Khdc1a,KHDC1L
Thumpd3,THUMPD3
Msh6,MSH6
Igfl3,IGFL3
Igfl3,IGFL2
Lancl3,LANCL3
Arfgef2,ARFGEF2
Herc2,HERC2
Adam28,ADAM28
Hapln1,HAPLN1
Kif9,KIF9
Tm7sf3,TM7SF3
Susd5,SUSD5
Fli1,FLI1
Zdhhc13,ZDHHC13
Kcnj8,KCNJ8
Map3k3,MAP3K3
Psmc6,PSMC6
Mtmr3,MTMR3
Psmd10,PSMD10
Esd,ESD
Ccdc74a,CCDC74A
Lrp4,LRP4
Srd5a1,SRD5A1
Cmc4,CMC4
Lcn10,LCN10
Tmem86b,TMEM86B
Raver1,RAVER1
Polr1b,POLR1B
Capn15,CAPN15
Nup98,NUP98
Ndufb10,NDUFB10
Prodh2,PRODH2
Prss16,PRSS16
Fchsd1,FCHSD1
Dapk3,DAPK3
Lmntd2,LMNTD2
Csn3,CSN3
Mageh1,MAGEH1
Sav1,SAV1
